PMID	DOI	Title	Year	PublicationTypes
1861917	NA	Randomized, controlled trial comparing long-term sulfonamide therapy to ventilation tubes for otitis media with effusion.	1991	Clinical Trial
1814737	NA	Pharmacokinetics of dipyridamole-beta-cyclodextrin complex in healthy volunteers after single and multiple doses.	1991	Clinical Trial
1822954	NA	Ototoxicity of cis-platinum and its relationship to eye colour.	1991	Journal Article
1806621	NA	Trimipramine--an atypical neuroleptic?	1991	Journal Article
2071559	NA	Fluoxetine versus trazodone: efficacy and activating-sedating effects.	1991	Clinical Trial
1818390	NA	Halofantrine in the treatment of acute uncomplicated falciparum malaria in the Philippines.	1991	Clinical Trial
2036618	NA	A comparison of the efficacy and tolerability of controlled-release carbamazepine with conventional carbamazepine.	1991	Clinical Trial
1710655	NA	Randomized study of cisplatin dose intensity in poor-risk germ cell tumors: a Southeastern Cancer Study Group and Southwest Oncology Group protocol.	1991	Clinical Trial
1744538	NA	Clinical study on antithrombotic effects of ticlopidine in ischemic stroke.	1991	Clinical Trial
1929256	NA	Hippocampal activity in the presence of quinolones and fenbufen in vitro.	1991	Journal Article
1805633	NA	Cochleotoxicity of otic drops in the chinchilla: comparative study of Bestron and Cortisporin.	1991	Comparative Study
1806466	NA	Propylthiouracil hypersensitivity with circumstantial evidence for drug-induced reversible sensorineural deafness: a case report.	1991	Case Reports
1869596	NA	Pharmacokinetics of tobramycin in pregnant women. Safety and efficacy of a once-daily dose regimen.	1991	Journal Article
16296711	NA	An 8-week double-blind study of amlodipine and diltiazem in patients with stable exertional angina pectoris.	1991	Journal Article
1929245	NA	Evidence that amikacin ototoxicity is related to total perilymph area under the concentration-time curve regardless of concentration.	1991	Journal Article
1795911	NA	Ototoxicity of vancomycin: an experimental study in guinea pigs.	1991	Journal Article
1880082	NA	Cochlear cultures as a model system for studying aminoglycoside induced ototoxicity.	1991	Journal Article
1763645	NA	Morphological changes to the cochlea in an animal model of profound deafness.	1991	Journal Article
1763622	NA	Effects of systemic and lateral semicircular canal administration of aminoglycosides on normal and hydropic inner ears.	1991	Journal Article
1763620	NA	Circadian rhythm dependent kanamycin-induced hearing loss in rodents assessed by auditory brainstem responses.	1991	Comparative Study
1662964	NA	Inhibition of adenylate-cyclase-coupled G protein complex by ototoxic diuretics and cis-platinum in the inner ear of the guinea pig.	1991	Journal Article
2067600	NA	Cranioplasty, vertebral body replacement, and spinal fusion with tobramycin-impregnated methylmethacrylate.	1991	Journal Article
2182581	NA	Adjunctive therapy (whole body hyperthermia versus lonidamine) to total body irradiation for the treatment of favorable B-cell neoplasms: a report of two pilot clinical trials and laboratory investigations.	1990	Clinical Trial
2180271	NA	A randomized phase II study of cisplatin alone versus cisplatin plus disulfiram.	1990	Clinical Trial
1971649	NA	Ceftazidime vs. tobramycin for serious infections in urological patients.	1990	Clinical Trial
1978469	NA	A placebo-controlled clinical trial of remoxipride and chlorpromazine in newly admitted schizophrenic patients with acute exacerbation.	1990	Clinical Trial
2311746	NA	Ofloxacin in miliary tuberculosis.	1990	Case Reports
2196420	NA	Developmental neurotoxicity of anticonvulsants: human and animal evidence on phenytoin.	1990	Journal Article
2319892	NA	Temporal bone findings in a case of bilateral Menière's disease treated by parenteral streptomycin and endolymphatic shunt.	1990	Case Reports
2097716	NA	Simplified monitoring of aminoglycoside treatment.	1990	Clinical Trial
