PubChem_CID	name	iupac_name	inchi_key	References	ototoxicity_sum	abs_sum	score	class
2153	Theophylline	1,3-dimethyl-7H-purine-2,6-dione	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	37791592, 33652374, 14767417, 3627078, 3677217, 2867679	4	6	0.0336870473303015	ototoxic
2157	Amiodarone	(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	41024894, 39087074, 37571970, 35198326, 31741184, 29559948, 29282523, 21733416, 19182738, 28496617, 12023264, 11975840, 10366178, 9855346, 6538658, 7211665	16	16	0.134748189321206	ototoxic
2159	Amisulpride	4-amino-N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide	NTJOBXMMWNYJFB-UHFFFAOYSA-N	35695641, 35276079, 23470610, 20581795	2	4	0.0168435236651507	ototoxic
2160	Amitriptyline	N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine	KRMDCWKBEZIMAB-UHFFFAOYSA-N	38627042, 39080958, 37829299, 36259684, 33889537, 33373328, 29863388, 29457627, 27807605, 26789925, 24259978, 23235671, 22161403, 21733416, 17512256, 16973315, 15290699, 11027910, 3897204, 380269	18	20	0.151591712986357	ototoxic
2162	Amlodipine	3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate	HTIQEAQVCYTUBX-UHFFFAOYSA-N	36734733, 23516009, 10562973, 1354085	4	4	0.0336870473303015	ototoxic
2165	Amodiaquine	4-[(7-chloroquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol	OVCDSSHSILBFBN-UHFFFAOYSA-N	26921239, 23554819, 20832366, 18620950	4	4	0.0336870473303015	ototoxic
2170	Amoxapine	8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine	QWGDMFLQWFTERH-UHFFFAOYSA-N	3968551, 6764165	2	2	0.0168435236651507	ototoxic
2187	Anastrozole	2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile	YBBLVLTVTVSKRW-UHFFFAOYSA-N	16944295	1	1	0.0084217618325753	ototoxic
2214	Acetovanillone	1-(4-hydroxy-3-methoxyphenyl)ethanone	DFYRUELUNQRZTB-UHFFFAOYSA-N	33084473, 26319609, 25092119, 22147442, 20237264	-5	5	-0.0421088091628769	otoprotective
2218	Aprindine	N'-(2,3-dihydro-1H-inden-2-yl)-N,N-diethyl-N'-phenylpropane-1,3-diamine	NZLBHDRPUJLHCE-UHFFFAOYSA-N	19336897, 500254	2	2	0.0168435236651507	ototoxic
2230	Arecoline	methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate	HJJPJSXJAXAIPN-UHFFFAOYSA-N	31601870	1	1	0.0084217618325753	ototoxic
